"relative_path","extension","size_bytes","modified"
"figures\manuscript\single_section_force_baseline_final.png",".png","165099","2026-04-07 13:25:52"
"figures\manuscript\standard_spatial_circle_response_final.png",".png","162225","2026-04-07 13:25:52"
"figures\manuscript\standard_spatial_circle_snapshot.png",".png","171324","2026-04-02 07:51:05"
"figures\manuscript\standard_spatial_circle_snapshot_final.png",".png","173589","2026-04-05 23:20:01"
"figures\manuscript\three_section_chinese_knot_result.pdf",".pdf","149068","2026-05-03 09:09:33"
"figures\manuscript\three_section_chinese_knot_result.png",".png","1688178","2026-05-03 09:09:32"
"figures\manuscript\three_section_hard_replay_summary.png",".png","339260","2026-05-03 10:04:24"
"figures\manuscript\three_section_hard_robustness_summary.png",".png","164706","2026-05-03 10:12:55"
"figures\manuscript\transmission_theory_diagram.pdf",".pdf","40289","2026-05-04 14:04:42"
"figures\manuscript\transmission_theory_diagram.png",".png","339068","2026-05-04 14:04:41"
"figures\simulation_outputs\1sec__trajectory_circle_force_rdcr__rod_driven_force_circle_response.png",".png","173563","2026-04-02 03:50:12"
"figures\simulation_outputs\1sec__trajectory_circle_force_rdcr__rod_driven_force_circle_snapshot.png",".png","145676","2026-04-02 03:50:06"
"figures\simulation_outputs\2sec__two_section_spatial_circle_demo__two_section_spatial_circle_response.png",".png","170864","2026-04-02 07:51:11"
"figures\simulation_outputs\2sec__two_section_spatial_circle_demo__two_section_spatial_circle_snapshot.png",".png","171324","2026-04-02 07:51:05"
"figures\simulation_outputs\2sec__two_section_spatial_circle_large_demo__two_section_spatial_circle_response.png",".png","180163","2026-04-02 08:25:15"
"figures\simulation_outputs\2sec__two_section_spatial_circle_large_demo__two_section_spatial_circle_snapshot.png",".png","175388","2026-04-02 08:25:01"
"figures\simulation_outputs\2sec__two_section_spatial_circle_large_optimized_demo__two_section_spatial_circle_response.png",".png","176178","2026-04-02 12:31:58"
"figures\simulation_outputs\2sec__two_section_spatial_circle_large_optimized_demo__two_section_spatial_circle_snapshot.png",".png","158041","2026-04-02 12:31:51"
"figures\simulation_outputs\3sec__three_section_chinese_knot_9_6_3_demo__three_section_chinese_knot_response.png",".png","231635","2026-05-03 08:26:34"
"figures\simulation_outputs\3sec__three_section_chinese_knot_9_6_3_demo__three_section_chinese_knot_snapshot.png",".png","200773","2026-05-03 08:26:31"
"figures\simulation_outputs\3sec__three_section_complex_large_9_6_3_demo__three_section_complex_large_response.png",".png","219345","2026-05-03 06:03:47"
"figures\simulation_outputs\3sec__three_section_complex_large_9_6_3_demo__three_section_complex_large_snapshot.png",".png","177480","2026-05-03 06:03:44"
"figures\simulation_outputs\3sec__three_section_complex_large_optimized_9_6_3_demo__three_section_complex_large_response.png",".png","228233","2026-05-03 06:10:36"
"figures\simulation_outputs\3sec__three_section_complex_large_optimized_9_6_3_demo__three_section_complex_large_snapshot.png",".png","187185","2026-05-03 06:10:33"
"figures\simulation_outputs\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__executable_design_refinement_summary.png",".png","436314","2026-05-04 07:49:29"
"figures\simulation_outputs\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__selected_design_resampling_summary.png",".png","145785","2026-05-04 05:45:28"
"figures\simulation_outputs\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__three_section_design_optimization_summary.png",".png","391782","2026-05-04 01:59:56"
"figures\simulation_outputs\3sec__three_section_hard_replay_9_6_3_demo__three_section_hard_replay_summary.png",".png","339260","2026-05-03 10:04:24"
"figures\simulation_outputs\3sec__three_section_hard_replay_9_6_3_demo__three_section_hard_robustness_summary.png",".png","164706","2026-05-03 10:12:55"
"figures\simulation_outputs\3sec__three_section_infinity_large_9_6_3_demo__three_section_infinity_large_response.png",".png","198005","2026-05-03 04:23:03"
"figures\simulation_outputs\3sec__three_section_infinity_large_9_6_3_demo__three_section_infinity_large_snapshot.png",".png","164086","2026-05-03 04:23:01"
"figures\simulation_outputs\3sec__three_section_spatial_circle_9_6_3_demo__three_section_spatial_circle_response.png",".png","211707","2026-05-03 04:13:35"
"figures\simulation_outputs\3sec__three_section_spatial_circle_9_6_3_demo__three_section_spatial_circle_snapshot.png",".png","176500","2026-05-03 04:13:32"
"figures\simulation_outputs\3sec__three_section_spatial_circle_coupled_demo__three_section_spatial_circle_response.png",".png","214055","2026-05-03 03:48:53"
"figures\simulation_outputs\3sec__three_section_spatial_circle_coupled_demo__three_section_spatial_circle_snapshot.png",".png","173943","2026-05-03 03:48:51"
"figures\simulation_outputs\3sec__three_section_spatial_circle_demo__three_section_spatial_circle_response.png",".png","215414","2026-05-03 03:18:00"
"figures\simulation_outputs\3sec__three_section_spatial_circle_demo__three_section_spatial_circle_snapshot.png",".png","162605","2026-05-03 03:17:57"
"LICENSE.md",".md","663","2026-05-04 15:46:07"
"README.md",".md","2049","2026-05-04 15:54:03"
"videos\core_videos\S1_single_section_coupled_vs_uncoupled_comparison.mp4",".mp4","10315236","2026-04-02 03:36:31"
"videos\core_videos\S2_two_section_standard_spatial_circle_robot_with_disks.mp4",".mp4","6009934","2026-04-02 07:54:26"
"videos\core_videos\S3_two_section_large_deformation_robot_with_disks.mp4",".mp4","6081677","2026-04-02 12:36:05"
"videos\core_videos\S4_two_section_incremental_equilibrium_replay_comparison.mp4",".mp4","8508819","2026-04-02 23:06:01"
"videos\core_videos\S5_three_section_9_6_3_spatial_circle_robot_with_disks.mp4",".mp4","7393016","2026-05-03 04:14:37"
"videos\core_videos\S6_three_section_9_6_3_chinese_knot_robot_with_disks.mp4",".mp4","22118619","2026-05-03 08:29:08"
"videos\optional_context_videos\O1_single_section_drive_force_curves.mp4",".mp4","3490399","2026-04-02 02:26:33"
"videos\optional_context_videos\O2_two_section_planar_circle_drive_curves.mp4",".mp4","4217776","2026-04-02 05:20:16"
"videos\optional_context_videos\O3_three_section_9_6_3_large_infinity_robot_with_disks.mp4",".mp4","6339727","2026-05-03 04:24:42"
"videos\optional_context_videos\O4_three_section_9_6_3_complex_large_optimized_robot_with_disks.mp4",".mp4","6879487","2026-05-03 06:11:33"
"videos\video_manifest.csv",".csv","1761","2026-05-04 15:52:37"
